_id,from,to
69d400827dca6ba0935a82de,DKR,BJL
69d400827dca6ba0935a82df,DKR,DLA
69d400827dca6ba0935a82e0,DKR,FNA
69d400827dca6ba0935a82e1,DKR,LOS
69d400827dca6ba0935a82e2,DKR,OXB
69d400827dca6ba0935a82e3,DLA,DKR
69d400827dca6ba0935a82e4,DLA,LOS
69d400827dca6ba0935a82e5,FNA,BJL
69d400827dca6ba0935a82e6,FNA,DKR
69d400827dca6ba0935a82e7,FNA,LGW
69d400827dca6ba0935a82e8,FNA,ROB
69d400827dca6ba0935a82e9,LGW,FNA
69d400827dca6ba0935a82ea,LOS,ACC
69d400827dca6ba0935a82eb,LOS,DKR
69d400827dca6ba0935a82ec,LOS,DLA
69d400827dca6ba0935a82ed,LOS,ROB
69d400827dca6ba0935a82ee,OXB,CKY
69d400827dca6ba0935a82ef,OXB,DKR
69d400827dca6ba0935a82f0,ROB,ACC
69d400827dca6ba0935a82f1,ROB,FNA
69d400827dca6ba0935a82f2,ROB,LOS
69d400827dca6ba0935a82f3,AKV,YIK
69d400827dca6ba0935a82f4,AKV,YPX
69d400827dca6ba0935a82f5,XGR,YVP
69d400827dca6ba0935a82f6,YGL,YGW
69d400827dca6ba0935a82f7,YGL,YPX
69d400827dca6ba0935a82f8,YGL,YUL
69d400827dca6ba0935a82f9,YGW,YGL
69d400827dca6ba0935a82fa,YGW,YPH
69d400827dca6ba0935a82fb,YGW,YSK
69d400827dca6ba0935a82fc,YGW,YUD
69d400827dca6ba0935a82fd,YGW,YUL
69d400827dca6ba0935a82fe,YGW,YUY
69d400827dca6ba0935a82ff,YIK,AKV
69d400827dca6ba0935a8300,YIK,YZG
69d400827dca6ba0935a8301,YKG,YPJ
69d400827dca6ba0935a8302,YKG,YQC
69d400827dca6ba0935a8303,YKG,YVP
69d400827dca6ba0935a8304,YKL,YQB
69d400827dca6ba0935a8305,YKL,YVP
69d400827dca6ba0935a8306,YKL,YWK
69d400827dca6ba0935a8307,YKL,YZV
69d400827dca6ba0935a8308,YPH,YPX
69d400827dca6ba0935a8309,YPH,YUD
69d400827dca6ba0935a830a,YPH,YVP
69d400827dca6ba0935a830b,YPJ,YKG
69d400827dca6ba0935a830c,YPJ,YTQ
69d400827dca6ba0935a830d,YPJ,YVP
69d400827dca6ba0935a830e,YPX,AKV
69d400827dca6ba0935a830f,YPX,YGL
69d400827dca6ba0935a8310,YPX,YPH
69d400827dca6ba0935a8311,YPX,YVP
69d400827dca6ba0935a8312,YQB,YKL
69d400827dca6ba0935a8313,YQB,YUL
69d400827dca6ba0935a8314,YQC,YKG
69d400827dca6ba0935a8315,YQC,YWB
69d400827dca6ba0935a8316,YSK,YGW
69d400827dca6ba0935a8317,YSK,YUD
69d400827dca6ba0935a8318,YTQ,YPJ
69d400827dca6ba0935a8319,YTQ,YVP
69d400827dca6ba0935a831a,YUD,YGW
69d400827dca6ba0935a831b,YUD,YPH
69d400827dca6ba0935a831c,YUD,YSK
69d400827dca6ba0935a831d,YUL,YGL
69d400827dca6ba0935a831e,YUL,YGW
69d400827dca6ba0935a831f,YUL,YQB
69d400827dca6ba0935a8320,YUL,YUY
69d400827dca6ba0935a8321,YUY,YGW
69d400827dca6ba0935a8322,YUY,YUL
69d400827dca6ba0935a8323,YVP,XGR
69d400827dca6ba0935a8324,YVP,YGW
69d400827dca6ba0935a8325,YVP,YKG
69d400827dca6ba0935a8326,YVP,YKL
69d400827dca6ba0935a8327,YVP,YPH
69d400827dca6ba0935a8328,YVP,YPJ
69d400827dca6ba0935a8329,YVP,YPX
69d400827dca6ba0935a832a,YVP,YTQ
69d400827dca6ba0935a832b,YWB,YQC
69d400827dca6ba0935a832c,YWB,YZG
69d400827dca6ba0935a832d,YWK,YKL
69d400827dca6ba0935a832e,YWK,YZV
69d400827dca6ba0935a832f,YZG,YIK
69d400827dca6ba0935a8330,YZG,YWB
69d400827dca6ba0935a8331,YZV,YKL
69d400827dca6ba0935a8332,YZV,YWK
69d400827dca6ba0935a8333,JIB,DXB
69d400827dca6ba0935a8334,JIB,JED
69d400827dca6ba0935a8335,JIB,MGQ
69d400827dca6ba0935a8336,MGQ,NBO
69d400827dca6ba0935a8337,NBO,MGQ
69d400827dca6ba0935a8338,BKK,SIN
69d400827dca6ba0935a8339,DRW,SIN
69d400827dca6ba0935a833a,HAK,SIN
69d400827dca6ba0935a833b,HGH,SIN
69d400827dca6ba0935a833c,HKG,SIN
69d400827dca6ba0935a833d,HKT,SIN
69d400827dca6ba0935a833e,KIX,MNL
69d400827dca6ba0935a833f,KIX,TPE
69d400827dca6ba0935a8340,KUL,SIN
69d400827dca6ba0935a8341,MNL,KIX
69d400827dca6ba0935a8342,MNL,SIN
69d400827dca6ba0935a8343,PEN,SIN
69d400827dca6ba0935a8344,PER,SIN
69d400827dca6ba0935a8345,PNH,SIN
69d400827dca6ba0935a8346,REP,SIN
69d400827dca6ba0935a8347,RGN,SIN
69d400827dca6ba0935a8348,SGN,SIN
69d400827dca6ba0935a8349,SIN,BKK
69d400827dca6ba0935a834a,SIN,DRW
69d400827dca6ba0935a834b,SIN,HAK
69d400827dca6ba0935a834c,SIN,HGH
69d400827dca6ba0935a834d,SIN,HKG
69d400827dca6ba0935a834e,SIN,HKT
69d400827dca6ba0935a834f,SIN,KUL
69d400827dca6ba0935a8350,SIN,MNL
69d400827dca6ba0935a8351,SIN,PEN
69d400827dca6ba0935a8352,SIN,PER
69d400827dca6ba0935a8353,SIN,PNH
69d400827dca6ba0935a8354,SIN,REP
69d400827dca6ba0935a8355,SIN,RGN
69d400827dca6ba0935a8356,SIN,SGN
69d400827dca6ba0935a8357,SIN,SWA
69d400827dca6ba0935a8358,SIN,TPE
69d400827dca6ba0935a8359,SWA,SIN
69d400827dca6ba0935a835a,TPE,KIX
69d400827dca6ba0935a835b,TPE,SIN
69d400827dca6ba0935a835c,ACH,EBA
69d400827dca6ba0935a835d,DRS,ZRH
69d400827dca6ba0935a835e,DUS,FDH
69d400827dca6ba0935a835f,EBA,ACH
69d400827dca6ba0935a8360,EBA,FDH
69d400827dca6ba0935a8361,EBA,MUC
69d400827dca6ba0935a8362,EBA,ZRH
69d400827dca6ba0935a8363,FDH,DUS
69d400827dca6ba0935a8364,FDH,EBA
69d400827dca6ba0935a8365,FDH,HAM
69d400827dca6ba0935a8366,FDH,OLB
69d400827dca6ba0935a8367,FDH,TXL
69d400827dca6ba0935a8368,FDH,ZAD
69d400827dca6ba0935a8369,FMM,NAP
69d400827dca6ba0935a836a,GRZ,ZRH
69d400827dca6ba0935a836b,HAM,FDH
69d400827dca6ba0935a836c,MUC,EBA
69d400827dca6ba0935a836d,NAP,FMM
69d400827dca6ba0935a836e,OLB,FDH
69d400827dca6ba0935a836f,SZG,ZRH
69d400827dca6ba0935a8370,TXL,FDH
69d400827dca6ba0935a8371,ZAD,FDH
69d400827dca6ba0935a8372,ZRH,DRS
69d400827dca6ba0935a8373,ZRH,EBA
69d400827dca6ba0935a8374,ZRH,GRZ
69d400827dca6ba0935a8375,ZRH,SZG
69d400827dca6ba0935a8376,ATL,LWB
69d400827dca6ba0935a8377,ATL,MCN
69d400827dca6ba0935a8378,ATL,MEI
69d400827dca6ba0935a8379,ATL,MSL
69d400827dca6ba0935a837a,ATL,PIB
69d400827dca6ba0935a837b,ATL,TUP
69d400827dca6ba0935a837c,BIM,FLL
69d400827dca6ba0935a837d,ELH,FLL
69d400827dca6ba0935a837e,ELH,PBI
69d400827dca6ba0935a837f,EYW,FLL
69d400827dca6ba0935a8380,EYW,RSW
69d400827dca6ba0935a8381,EYW,TPA
69d400827dca6ba0935a8382,FLL,BIM
69d400827dca6ba0935a8383,FLL,ELH
69d400827dca6ba0935a8384,FLL,EYW
69d400827dca6ba0935a8385,FLL,FPO
69d400827dca6ba0935a8386,FLL,GGT
69d400827dca6ba0935a8387,FLL,GHB
69d400827dca6ba0935a8388,FLL,MCO
69d400827dca6ba0935a8389,FLL,MHH
69d400827dca6ba0935a838a,FLL,TCB
69d400827dca6ba0935a838b,FLL,TPA
69d400827dca6ba0935a838c,FPO,FLL
69d400827dca6ba0935a838d,GGT,FLL
69d400827dca6ba0935a838e,GGT,GHB
69d400827dca6ba0935a838f,GHB,FLL
69d400827dca6ba0935a8390,GLH,TUP
69d400827dca6ba0935a8391,GNV,MCO
69d400827dca6ba0935a8392,GNV,TPA
69d400827dca6ba0935a8393,JAX,MHH
69d400827dca6ba0935a8394,JAX,TPA
69d400827dca6ba0935a8395,LWB,ATL
69d400827dca6ba0935a8396,MCN,ATL
