flugroute_id,abflug_iata,ankunft_iata,richtung,de_flughafen_iata,de_flughafen_typ,ausland_stadt,ausland_flughafen_iata,fluege_bestaetigt,fluege_gesamt,airlines_bestaetigt,airlines_gesamt,anzahl_portale,portale_liste,distanz_km,distanz_kategorie
69d400827dca6ba0935a9c82,LCY,FRA,nach DE,FRA,Hub,London,LCY,11,42,2,4,2,"fluegede,idealo",619.0,Mittel (500-1500km)
69d400827dca6ba0935b32ef,DUS,LIN,ab DE,DUS,Hub,Milan,LIN,11,22,2,4,2,"fluegede,idealo",676.0,Mittel (500-1500km)
69d400827dca6ba0935b512e,LIN,DUS,nach DE,DUS,Hub,Milan,LIN,11,21,2,4,2,"fluegede,idealo",676.0,Mittel (500-1500km)
69d400827dca6ba0935a87b4,OLB,DUS,nach DE,DUS,Hub,Olbia,OLB,11,17,2,2,2,"fluegede,idealo",1174.0,Mittel (500-1500km)
69d400827dca6ba0935b02fe,TUN,DUS,nach DE,DUS,Hub,Tunis,TUN,11,16,4,4,2,"fluegede,idealo",1629.0,Lang (>1500km)
69d400827dca6ba0935af493,DUS,ESB,ab DE,DUS,Hub,Ankara,ESB,11,16,3,3,2,"fluegede,idealo",2366.0,Lang (>1500km)
69d400827dca6ba0935ae3d1,MUC,PRN,ab DE,MUC,Hub,Lipjan,PRN,11,15,4,5,2,"fluegede,idealo",965.0,Mittel (500-1500km)
69d400827dca6ba0935b02d1,DUS,TUN,ab DE,DUS,Hub,Tunis,TUN,11,15,4,4,2,"fluegede,idealo",1629.0,Lang (>1500km)
69d400827dca6ba0935b3458,EDI,BER,nach DE,BER,Hub,Edinburgh,EDI,11,14,6,6,2,"fluegede,idealo",1165.0,Mittel (500-1500km)
69d400827dca6ba0935a9c7b,KGS,MUC,nach DE,MUC,Hub,Kos Island,KGS,11,14,5,5,3,"check24,fluegede,idealo",1789.0,Lang (>1500km)
69d400827dca6ba0935b7beb,TLV,BER,nach DE,BER,Hub,Tel Aviv,TLV,11,14,4,4,2,"fluegede,idealo",2845.0,Lang (>1500km)
69d400827dca6ba0935b1dac,BER,BEG,ab DE,BER,Hub,Belgrad,BEG,11,14,2,2,2,"fluegede,idealo",976.0,Mittel (500-1500km)
69d400827dca6ba0935b5e8f,NQZ,FRA,nach DE,FRA,Hub,Astana,NQZ,11,14,2,2,2,"fluegede,idealo",4311.0,Lang (>1500km)
69d400827dca6ba0935aa5f2,FRA,ALG,ab DE,FRA,Hub,Algiers,ALG,11,14,2,2,2,"fluegede,idealo",1543.0,Lang (>1500km)
